"Ad ID","Ad Text","Ad Landing Page","Ad Targeting Location","Excluded Connections","Age","Language","Placements","People Who Match","Friends of Connections","Ad Impressions","Ad Clicks","Ad Spend","Ad Creation Date","Ad End Date"
"330","American Racists On The Road
The racists group of America ""Back To The Blue"" are organizing a hate rally
in response to the public outcry and protests against police officers.
""Bikers-patriots"" want to descend on the McKinney Police HQ in a show of
solidarity for the police because race-baiters and cop-haters. They plan to
have ""the biggest thing to happen in Patriot Movement since the Bundy
Ranch victory!""
It seems like we won't get into ""post-racial America"".... this event and the
regular murder of innocent Black children by white supremacist police and
citizens makes that clear. The modern government has brought racist
America to the forefront, good or bad. This is something that America has a
serious issue with - RACISM!
Is it time to call out the national guard?","https://www.facebook.com/Black-Matters-1579673598947501/","United States: Baltimore Maryland; Ferguson, St. Louis Missouri;
Cleveland Ohio","N/A","18 - 65+","N/A","News Feed on desktop computers or News Feed on mobile
devices","People who like Black Matters","Friends of people who are connected to Black Matters","524","24","88.45 RUB","06/15/15 07:22:00 AM PDT","06/16/15 07:21:59 AM PDT"
"582","We speak for all fellow members of LGBT community across the nation.","https://www.facebook.com/Igbtun/","United States
Interests: LGBT community or Homosexuality","Exclude people who like LGBT United","18 - 65+","English (UK)or English (US)","News Feed on desktop computers or News Feed on mobile
devices","N/A","N/A","18,891","1,724","10,085.77 RUB","06/18/15 12:58:48 AM PDT","N/A"
"331","""Free Figure's Black Power Rally at VCU:""","https://www.facebook.com/Black-Matters-1579673598947501/","United States: Baltimore Maryland: Ferguson, St. Louis Missouri:
Cleveland Ohio","N/A","18 - 65+","N/A","News Feed on desktop computers or News Feed on mobile
devices","N/A","N/A","764","43","90.86 RUB","06/15/15 07:21:47 AM PDT","06/16/15 07:21:47 AM PDT"
"329","The image of 1938 shows several African American Youths dangling around
the stairs leading up to the back entrance of a segregated movie theater in
Anniston, Alabama.That day the Tarzan film, Call of the Savage was shown.","https://www.facebook.com/Black-Matters-1579673598947501/","United States: Baltimore Maryland; Ferguson, St. Louis Missouri;
Cleveland Ohio","N/A","18 - 65+","N/A","News Feed on desktop computers or News Feed on mobile
devices","People who like Black Matters","Friends of people who are connected to Black Matters","482","18","90.65 RUB","06/15/15 07:21:33 AM PDT","06/16/15 07:21:33 AM PDT"
"343","The violent pool story #3. White police officer slammed black teen against his
car
This black family from Ohio will never forget the June 9th. According to the
family's testimony, Krystal Dixon and her sister Maya Dixon took their eight
children, nephews and nieces to Ohio public school in a Fairfield.
Nevertheless, the pool employee demanded the family to leave due to one of
the children did not have swim trunks. One of the boys broke the rules and
the staff asked the family to leave. As six-months pregnant Krystal Dixon
walked to the parking lot, the police officer grabbed her arm and asked for an
ID-card. The witness video shows how the police officer pepper sprayed
Dixon's family and grabbed 12-year-old child by neck. But according to the
Fairfield police department, the white police officer did not use excessive
force.
Did the pool staff force them to leave because they were black? Was it a race
factor? Don't you think the police officer's attempt to arrest Krystal Dixon was
unlawful? How the police officers should be charged? What kind of right of
defense do you have against unlawful arrests?
These days, there is far more to being a ""good cop"" than choosing not to hurt
innocent people. Plus, when are we going to stop being stereotypical? Even
today, the stereotypes effect black population of the United States of America
transmitted through music, lyrics, titles, literature, movies and folk saying.
White Americans across the country embrace African-Americans the image of
criminals and looters. How are we going to live with that?","https://www.facebook.com/Black-Matters-1579673598947501/","United States: Baltimore Maryland; Ferguson, St. Louis Missouri;
Cleveland Ohio","N/A","18 - 65+","N/A","News Feed on desktop computers or News Feed on mobile
devices","People who like Black Matters","Friends of people who are connected to Black Matters","441","31","91.73 RUB","06/18/15 07:21:41 AM PDT","06/19/15 07:21:41 AM PDT"
"430","N/A","https://www.facebook.com/pages/L-for-life/994910227187446","- Living In: United States","N/A","18 - 65+","N/A","News Feed on desktop computers or News Feed on mobile
devices","N/A","N/A","0","0","None","06/09/15 03:48:26 AM PDT","06/10/15 03:48:25 AM PDT"
"429","Sadness and shocking tragedy at historically black church in Charlestone
A white gunman opened a fire at pastor and 8 other church members at black
church in Charlestone, S.0 on Wednesday night. The young clean-shaved
shooter walked in during a prayer meeting and started shooting the people.
Charleston Police Chief Greg Mullen said that the incident would be
investigated as hate crime.
Emanuel AME Church is a historically Africa-American church which was
found by Denmark Vesey in order to organize a slave revolt in 1822.
Despite the first black American president, Africa-Americans remain the most
common victims of hate crimes. But what if the hate crime relates to
xenophobia? American xenophobia is based on the dominant white heritage
that is giving birth to another form of hate and discrimination. These forms
take another level of hate. Unfortunately, American tolerance is not what we
think it is. US public is swapping patriotism for nationalism, tolerance for
Islamophobia, racism and anti-immigrant sentiment. For instance, last
February American gunman killed three young Muslims two miles away from
the University of North Carolina campus. Was this gunman motivated by hate
and intolerance? Should we expect for more hate-crimes?
What if American racial change still occurs through generations? What of it
racism happens due to unequal opportunities? What if America is still a
deeply racist country? What if the church is not a safe place anymore?","https://www.facebook.com/Black-Matters-1579673598947501/","United States: Baltimore Maryland; Ferguson, St. Louis Missouri;
Cleveland Ohio","N/A","18 - 65+","N/A","News Feed on desktop computers or News Feed on mobile
devices","People who like Black Matters","Friends of people who are connected to Black Matters","0","0","None","06/18/15 02:49:23 AM PDT","06/19/15 02:49:23 AM PDT"
"581","We speak for all fellow members of LGBT community across the nation.","https://www.facebook.com/Igbtun/","United States
Interests: LGBT community, Homosexuality, Yoga, Fitness and wellness or
Politics and social issues","Exclude people who like LGBT United","18 - 65+","English (UK)or English (US)","News Feed on desktop computers or News Feed on mobile
devices","N/A","N/A","1,438","36","1,362.57 RUB","06/17/15 03:15:18 AM PDT","N/A"
"342","Rachel Dolezal is wearing the other persons shoes.
Rachel Dolezal drew attention to her racial identification. A white-born former
NAACP leader claimed to be black. The criticism towards Dolezal stems
controversy around her identity and her position as the president of the
NAACP in Washington. Today. Dolezal sees herself as first transracial.
Rachel Dolezal stated that her racial identity was black, American Indian;
white and two more races. Moreover if she proves that she is black; than
anyone else will be able to prove that he/she is not even a human being.
What do you think about her? What kind of rights should she have?","https://www.facebook.com/Black-Matters-1579673598947501/","United States: Baltimore Maryland: Ferguson, St. Louis Missouri;
Cleveland Ohio","N/A","18 - 65+","N/A","News Feed on desktop computers or News Feed on mobile
devices","People who like Black Matters","Friends of people who are connected to Black Matters","866","46","199.94 RUB","06/18/15 02:50:25 AM PDT","06/19/15 02:50:24 AM PDT"
"328","Race war started by Texas teacher
A Texas fourth-grade teacher Karen Fitzgibbons published a racial Facebook
post in which she confirmed that Black people are responsible for racial
tensions in the USA. Moreover she claimed that she is ""almost to the point""
of defending the segregation. After her post about the recent pool party
incident drew local attention, the teacher deleted her profile.
""This makes me ANGRY! This officer should not have had to resign. I'm
going to just go ahead and say it....the blacks are the ones causing the
problems and this `racial tension. I guess that's what happens when you
flunk out of school and have no education. I'm sure their parents are just as
guilty for not knowing what their kids were doing; or knew it and didn't care,""
she wrote. She also added,""I'm almost to the point of wanting them all
segregated on one side of town so they can hurt each other and leave the
innocent people alone. Maybe the 50s and 60s were really on to something.
Now, let the bashing of my true and honest opinion begin....GO!#imnotracist
#imsickofthemcausingtrouble #itwasagatedcommunity"".
As we see Karen Fitzgibbons is a real racist, who approves the humiliation of
black people! This news clearly reflects that American society is close to
collapse, if not to say to war. As the authorities are doing nothing to resolve
the situation, in the near future we may face real race war within our country.","https://www.facebook.com/Black-Matters-1579673598947501/","United States: Baltimore Maryland; Ferguson, St. Louis Missouri;
Cleveland Ohio","N/A","18 - 65+","N/A","News Feed on desktop computers or News Feed on mobile
devices","N/A","N/A","168","17","31.54 RUB","06/11/15 07:03:58 AM PDT","06/12/15 07:03:57 AM PDT"
