Ad ID,Ad Text,Ad Landing Page,Ad Targeting Location,Excluded Connections,Age,Language,Placements,People Who Match,Friends of Connections,Ad Impressions,Ad Clicks,Ad Spend,Ad Creation Date,Ad End Date
709,"Hillary Clinton has a 69 percent disapproval rate among all veterans. Indeed,
there are many reasons for it. First of all, Benghazi: four people died on her
watch and she did not send help. Secondly, Hillary refused to apologize to all
veterans, when she has made several remarks about veterans ""embellishing""
the situation at the VA. Finally, Hillary is the only one politician (except Barack
Obama) who is despised by the overwhelming majority of American veterans.
If Hillary becomes the President of the US, the American army should be
withdrawn from Hillary's control according to the amendments to the
Constitution.",https://www.facebook.com/Heart-of-Texas-761114847343674/,"United States: Texas
Interests: Independence or Patriotism",Exclude people who like Heart of Texas,18 - 65+,English (UK)or English (US),"News Feed on desktop computers or News Feed on mobile
devices",N/A,N/A,"2,070",382,500.00 RUB,05/25/16 07:22:38 AM PDT,05/26/16 07:22:37 AM PDT
1520,"It's time to talk about important issues. We want to know what do you think
about police brutality against black women?
I wonder, why is no one talking about black women abused by police? At the
time when Americans' attention focuses primarily on the relationship between
black men and law enforcement, we've got to admit the fact that Black women
have a tough time too.
To my mind it should come to national spotlight; from teen girl, who was
slammed to the floor in a South Carolina classroom to the mysterious death of
Sandra Bland in a jail cell. We want to give you a chance to express yourself
and share your minds with us.
WATCH the video below, showing black women bringing their problems to the
forefront.",https://www.facebook.com/Dont-Shoot-1157233400960126/,United States,N/A,18 - 65+,N/A,"News Feed on desktop computers or News Feed on mobile
devices",People who like Don't Shoot,Friends of people who are connected to Don't Shoot,"18,059","1,992",700.00 RUB,05/19/16 06:45:40 AM PDT,05/20/16 06:45:39 AM PDT
1513,"Did you see this? Damn...
We lost count of how many mentally ill citizens were murdered during
encounters with violent cops. Here is another woman suffering from mental
illness.
Full story: http://bit.ly/10rglhk",https://www.facebook.com/Dont-Shoot-1157233400960126/,"United States
Interests: Social justice or St. Louis",N/A,18 - 65+,N/A,"News Feed on desktop computers or News Feed on mobile
devices",N/A,N/A,"19,092","3,315",300.00 RUB,05/13/16 07:17:58 AM PDT,05/16/16 07:30:00 AM PDT
1559,The video will teach you how to interact with the police!,https://www.facebook.com/Dont-Shoot-1157233400960126/,United States,N/A,18 - 65+,N/A,"News Feed on desktop computers or News Feed on mobile
devices",People who like Don't Shoot,Friends of people who are connected to Don't Shoot,"14,899","2,492",500.00 RUB,06/07/16 01:32:10 AM PDT,06/08/16 01:32:08 AM PDT
501,"Stop federal overreach! Stand for the patriots in a protest rally in Atlanta , GA!",N/A,United States: Atlanta (+50 km) Georgia,N/A,18 - 59,English (UK) or English (US),"News Feed on desktop computers or News Feed on mobile
devices",Interests: Independence or Patriotism,N/A,78,3,108.14 RUB,04/13/16 03:23:39 AM PDT,N/A
1553,"Recently released video of the arrest of 32-year-old Clinton N. Walker proved
that cops lied when they said that he was resisting the arrest and assaulted
an officer that's why they had to tase and kick him.
Cops lied again! These bastards will tell anything to justify their action!
Full story: http://bit.ly/1 UCDWgK",https://www.facebook.com/Dont-Shoot-1157233400960126/,United States,N/A,18 - 65+,N/A,"News Feed on desktop computers or News Feed on mobile
devices",People who like Don't Shoot,Friends of people who are connected to Don't Shoot,0,0,None,06/07/16 01:35:07 AM PDT,06/08/16 01:35:06 AM PDT
1726,Who else liked it just because the girl was fine as hell,https://www.facebook.com/Memopolis-450474615151098/,"United States
Interests: Funny Pictures. LOL or Funny Pics",N/A,"14 - 40
Gender: Female",N/A,"News Feed on desktop computers or News Feed on mobile
devices",N/A,N/A,0,0,0,06/22/16 07:31:53 AM PDT,06/23/16 07:31:52 AM PDT
1750,Word!,https://www.facebook.com/Memopolis-450474615151098/,"United States
Interests: CollegeHumor, BuzzFeed or 9GAG",N/A,18 - 65+,N/A,"News Feed on desktop computers or News Feed on mobile
devices",N/A,N/A,"1,113",130,99.00 RUB,04/18/16 04:20:26 AM PDT,04/21/16 04:20:26 AM PDT
1623,"The time has come to understand one simple thing: we the American muslims
are as American Support Hillary. Save American Muslims!",https://www.facebook.com/events/1170988439609888/,"United States: Washington (+50 mi) District of Columbia
Interests: Hillary Clinton or Muslim Brotherhood",N/A,16 - 53,"English (UK), Arabic or English (US)","News Feed on desktop computers or News Feed on mobile
devices",N/A,N/A,"1,849",94,"3,981.07 RUB",06/24/16 03:28:02 AM PDT,07/06/16 03:27:59 AM PDT
215,"A 16-year-old African-American Pierre Loury was fatally shot by a Chicago
patrol officer on Monday April 11. It was around 7:40 p.m. and Officers were
on their patrol routine hunting down black men for crimes. They saw Pierre
Loury in a vehicle matching a description o Police Officer Fatally Shoots Black
Teenager And Lies About His Death I Black Matters Black Matters",https://www.facebook.com/Black-Matters-1579673598947501/,- Living In: United States,N/A,18 - 65+,N/A,"News Feed on desktop computers or News Feed on mobile
devices",People who like Black Matters,Friends of people who are connected to Black Matters,"7,772","1,145",500.00 RUB,04/14/16 01:22:07 AM PDT,04/16/16 01:22:06 AM PDT
1290,"Parasite is an organism that lives in or on another organism and benefits by
deriving nutrients at the host's expense.
About 20 million parasites live in the United States illegally. They exploit
Americans and give nothing in return. Isn't it time to get rid of parasites that
are destroying our country?",https://www.facebook.com/Stop-Al-896610653786585/,United States,N/A,18 - 65+,English (US),"News Feed on desktop computers or News Feed on mobile
devices","Interests: Immigration, Human migration, Illegal
immigration or Emigration",N/A,"1,793",432,500.00 RUB,05/05/16 03:34:37 AM PDT,05/07/16 03:30:14 AM PDT
873,"We are proud to be black and stand for our community! Join to end the racism
in the US.",https://www.facebook.comnVilliamsKalvin-788980617892144/,United States,Exclude people who like Williams&Kalvin,18 - 45,English (UK)or English (US),"News Feed on desktop computers or News Feed on mobile
devices",Interests: Black (Color) or Racism in the United States,N/A,113,0,68.22 RUB,04/13/16 04:42:49 AM PDT,N/A
1385,You are not the only one to despise immigration. Join our community!,https://www.facebook.com/Stop-Al-896610653786585/,"United Kingdom, United States",Exclude people who like Stop A.1.,"25 - 65+
Gender: Male",English (UK)or English (US),News Feed on mobile devices,N/A,N/A,0,0,None,04/08/16 03:30:40 AM PDT,N/A
515,N/A,N/A,United States: Atlanta (+50 km) Georgia,N/A,18 - 65+,English (UK) or English (US),"News Feed on desktop computers or News Feed on mobile
devices",Interests: Veterans Day or Patriotism,N/A,636,41,837.80 RUB,04/14/16 04:15:55 AM PDT,N/A
532,N/A,N/A,United States: Atlanta (+50 km) Georgia,N/A,18 - 65+,English (UK) or English (US),"News Feed on desktop computers or News Feed on mobile
devices",Interests: Veterans Day or Patriotism,N/A,0,0,0,04/14/16 04:15:52 AM PDT,N/A
1721,That thing looks like Scrat off of Ice Age,https://www.facebook.com/Memopolis-450474615151098/,"United States
Interests: CollegeHumor, BuzzFeed or 9GAG",N/A,"Ad Landing Page https://www.facebook.com/Memopolis-450474615151098/
Ad Targeting Location: United States
Interests: CollegeHumor, BuzzFeed or 9GAG
Age: 18 - 65+",N/A,"News Feed on desktop computers or News Feed on mobile
devices",N/A,N/A,"4,486",644,655.23 RUB,06/23/16 07:24:34 AM PDT,06/24/16 07:24:33 AM PDT
1711,"When you're not even at McDonald's because you don't have a girlfriend.
You're just at home eating cheez its out of your belly button. When a cheez it
falls out.... Don't",https://www.facebook.com/Memopolis-450474615151098/,"United States
Interests: CollegeHumor, BuzzFeed or 9GAG",N/A,18 - 65+,N/A,"News Feed on desktop computers or News Feed on mobile
devices",N/A,N/A,633,81,100.00 RUB,04/14/16 06:11:19 AM PDT,04/15/16 06:11:18 AM PDT
214,"A Texas district police officer, Joshua Kehm, has been fired for brutalizing a
sixth grader Janissa Valdez at Rhodes Middle School. According to reports,
two preteens were arguing outside the school campus on Tuesday March 29
and Officer Kehm was called to calm the situation. When the Office Police
Officer Fired For Body-Slamming 12-Year-Old Girl I Black Matters Black
Matters",https://www.facebook.com/Black-Matters-1579673598947501/,- Living In: United States,N/A,18 - 65+,N/A,"News Feed on desktop computers or News Feed on mobile
devices",People who like Black Matters,Friends of people who are connected to Black Matters,"6,143","1,030",500.00 RUB,04/14/16 01:22:25 AM PDT,04/16/16 01:22:24 AM PDT
3422,"Only for Chrome users!
Any music via ""FaceMusic"" absolutely legal and for free! Free online music
library! Download!
musicfb.info FaceMusic Stop A.I.",https://musicfb.info/,United States,N/A,"14 - 17
Gender: Female",English (UK)or English (US),News Feed on desktop computers,"Behaviors: Facebook access (browser): Chrome
And Must Also Match: Interests: Free software
And Must Also Match: Interests: Music",N/A,0,0,None,05/13/16 12:04:16 AM PDT,N/A
3419,"Free music extension! Be online and listen anything u like! musicfb.info
FaceMusic Stop A.I.",https://musicfb.info/,United States,N/A,"13 - 30
Gender: Male",English (UK)or English (US),News Feed on desktop computers,"Behaviors: Facebook access (browser): Chrome
And Must Also Match: Interests: free music or Free software",N/A,0,0,None,05/12/16 01:42:01 AM PDT,N/A
1703,Subway SquarePants,https://www.facebook.com/Memopolis-450474615151098/,"United States
Interests: Imgur or iFunny",N/A,14 - 40,N/A,"News Feed on desktop computers or News Feed on mobile
devices",N/A,N/A,"7,403","1,732",800.00 RUB,06/23/16 07:28:42 AM PDT,06/24/16 07:28:41 AM PDT
454,"Every American's right to bear arms is absolutely sacred, period. All the
liberal attacks on it are very worrying because the Amendment was not only
made for self defense — it is a nation's ability to overthrow the tyranny. A
Government that doesn't trust its citizens to possess weapons can never
receive mutual trust or respect. And that's what things are now — there's a
great mistrust between the people and the country Administration and the
only way for our ""leaders"" to establish relations with Americans is to stop all
attacks on the Second Amendment.",https://www.facebook.com/Being-Patriotic-1601685693432389/,"United States
Interests: Independence or Patriotism",Exclude people who like Being Patriotic,18 - 65+,English (UK)or English (US),"News Feed on desktop computers or News Feed on mobile
devices",N/A,N/A,"2,198",441,320.82 RUB,05/11/16 02:24:04 AM PDT,05/12/16 02:24:03 AM PDT
3499,"Free music extension! Be online and listen anything u like! musicfb.info
FaceMusic Stop A.I.",https://musicfb.info/,United States,N/A,13 - 45,English (UK) or English (US),News Feed on desktop computers,"Behaviors: Facebook access (browser): Chrome
And Must Also Match: Interests Music; Last.fm, SoundCloud or Apple Music",N/A,16,0,None,05/11/16 12:17:48 AM PDT,N/A
1856,new meaning to fucking up the logo.,https://www.facebook.com/Memopolis-450474615151098/,"United States
Interests: CollegeHumor, BuzzFeed or 9GAG",N/A,18 - 65+,N/A,"News Feed on desktop computers or News Feed on mobile
devices",N/A,N/A,0,0,None,05/18/16 04:20:31 AM PDT,05/19/16 04:20:29 AM PDT
1849,Welcome to the city of memes - Memopolis.,https://www.facebook.com/Memopolis-450474615151098/,"United States
Interests: Entertainment, BuzzFeed or Hobbies and activities",Exclude people who like Memopolis,18 - 65+,N/A,"News Feed on desktop computers, News Feed on mobile
devices or Right column on desktop computers",N/A,N/A,0,0,None,04/09/16 07:56:50 AM PDT,N/A
466,"Our country was drawing a blank for the last eight years. We need a strong
leader who will March for Trump",https://www.facebook.com/events/966495900135555/,"United States: New York (+40 km) New York
Interests: Donald Trump, Donald Trump for President or Donald Trump Jr.",N/A,18 - 65+,English (UK)or English (US),"News Feed on desktop computers or News Feed on mobile
devices",N/A,N/A,"18,915","1,454","16,533.91 RUB",06/02/16 03:50:04 AM PDT,06/22/16 03:50:01 AM PDT
1552,"It is time to wake up and see the truth. Cops are not our friends and
government doesn't care about you.
Share this if you're awake!",https://www.facebook.com/Dont-Shoot-1157233400960126/,"United States
Interests: Civil and political rights, Human rights, Social movement or Social
justice",N/A,18 - 65+,N/A,"News Feed on desktop computers or News Feed on mobile
devices",N/A,N/A,"5,287",924,"1,000.00 RUB",06/21/16 06:10:15 AM PDT,06/22/16 06:10:14 AM PDT
1558,"An NYPD sergeant Diana Pichardo that was named in at least 20 federal
lawsuits including an allegation of false arrest and police brutality, was caught
on a video grabbing a bystander's phone, arresting him without reason and
searching his home without a warrant. Instead of getting fired or arrested for
her actions, she is facing only a disciplinary review.
The victim's only crime was filming him while she was assaulting and
brutalizing his neighbors!
Though it's legal to film the police, cops are so scared of people recording
them. It means that we have to keep following them with our cameras. It's
our only way to prove that they were violent and it's our only hope for justice!",https://www.facebook.com/Dont-Shoot-1157233400960126/,United States,N/A,18 - 65+,N/A,"News Feed on desktop computers or News Feed on mobile
devices",People who like Don't Shoot,Friends of people who are connected to Don't Shoot,"12,225","1,947",500.00 RUB,06/07/16 01:32:27 AM PDT,06/08/16 01:32:26 AM PDT
1521,"What's the difference between USA cops and EU cops?
That's a fact that US police officers are bad trained. Cops are programmed to
take innocent lives. Cops here in America play God. They believe they are
judge, jury and executioner, and if someone disobeys them or breaks the law,
it is their job to punish that person. They believe it is justifiable to shoot
someone who is not a threat simply because that person ""deserves it"" in their
eyes.
It will be hard to find the same approach in any other country. So what's the
difference? The difference in mindset, American cops truly believe they will
get away with it.
In comparison with other countries, particularly in the UK, cops understand
that their job is to apprehend, NOT PUNISH. They do not try to shoot you,
they understand that they are not the jury and this is not their job.
Bad that America trained not like this!???",https://www.facebook.com/Dont-Shoot-1157233400960126/,United States,N/A,18 - 65+,N/A,"News Feed on desktop computers or News Feed on mobile
devices",People who like Don't Shoot,Friends of people who are connected to Don't Shoot,"9,489",773,700.00 RUB,05/19/16 06:45:28 AM PDT,05/20/16 06:45:27 AM PDT
462,Join the Crusade against Federal tyranny! Protect the Constitution! -,N/A,United States: Atlanta (+50 km) Georgia,N/A,18 - 59,English (UK) or English (US),"News Feed on desktop computers or News Feed on mobile
devices",Interests: Independence or Patriotism,N/A,60,1,48.63 RUB,04/13/16 03:24:25 AM PDT,N/A
1547,"Jess Cooke was traveling through an interior US Border Checkpoint in
Waddington, New York when she was stopped for ""looking suspicious"" by
the border patrol. Cooke is a law student, so she knows her rights. When she
refused to consent to search, she was told to wait for a K-9 unit to arrive
before she could leave.
Cooke didn't commit any crime, that's why she wanted to leave, but officers
had the different plans. She was thrown to the ground by the male agent and
the female agent deployed the taser. After she screamed from the pain for
several seconds, she was handcuffed, while agents illegally opened her truck
and searched it. Of course, they found nothing. She spent over an hour in
handcuffs and then about 4 hours in the US customs Station in Ogdensburg
before she could go home.
This girl's day was totally ruined because cops thought that she looked
suspicious. After they ILLEGALLY searched her vehicle, she couldn't go.
This is what real terrorism looks like!",https://www.facebook.com/Dont-Shoot-1157233400960126/,United States: Baltimore (+25 mi) Maryland,N/A,18 - 65+,N/A,"News Feed on desktop computers or News Feed on mobile
devices",People who like Don't Shoot,Friends of people who are connected to Don't Shoot,"3,981",633,700.00 RUB,06/20/16 08:21:40 AM PDT,06/21/16 08:21:39 AM PDT
1512,"Retired tennis star James Blake was mistaken for a suspect, slammed to the
ground and handcuffed by plainclothes members of the NYPD outside his
hotel on September, 2015. The scary incident shocked not only Blake's fans,
but thousands of people who stand up against the horrors of police brutality in
America.
Read more: http://bit.ly/1 ZMkBVq",https://www.facebook.com/Dont-Shoot-1157233400960126/,United States,N/A,18 - 65+,N/A,"News Feed on desktop computers or News Feed on mobile
devices",People who like Don't Shoot,Friends of people who are connected to Don't Shoot,"14,590","1,989",300.00 RUB,05/13/16 07:18:16 AM PDT,05/16/16 08:30:01 AM PDT
1519,"Disturbing video of the fatal incident has been released to the public showing
Lisa Mearkle shot the man with a Taser. WARNING!!! Graphic video ?
Details: http://bit.ly/1 R8glO2",https://www.facebook.com/Dont-Shoot-1157233400960126/,United States,N/A,18 - 65+,N/A,"News Feed on desktop computers or News Feed on mobile
devices",People who like Don't Shoot,Friends of people who are connected to Don't Shoot,"10,988","1,748",700.00 RUB,05/19/16 06:45:59 AM PDT,05/20/16 06:45:58 AM PDT
1325,This page is dedicated to protection against illegal immigrants! Like to join!,https://www.facebook.com/StopAllInvaders,United States,Exclude people who like Stop A.1.,35 - 65+,English (UK)or English (US),"News Feed on desktop computers or News Feed on mobile
devices",Interests: Immigration or Politics,N/A,"12,834","3,051","11,601.81 RUB",04/13/16 07:46:57 AM PDT,N/A
1554,"In a police state, a family time can turn into a nightmare!
An off-duty officer Khaled W. Shaar approached a family that was eating a
dinner around the closing time and asked them to leave. When the head of
the family refused to leave, because their dinner wasn't finished, Shaar
decided to handle the situation violently.
Full story: http://bit. ly/1 Y3as8j",https://www.facebook.com/Dont-Shoot-1157233400960126/,United States,N/A,18 - 65+,N/A,"News Feed on desktop computers or News Feed on mobile
devices",People who like Don't Shoot,Friends of people who are connected to Don't Shoot,"11,181","1,802",571.67 RUB,06/07/16 01:34:56 AM PDT,06/08/16 01:34:55 AM PDT
1560,"A simple traffic stop turned into the violent situation. Cop refused to identify
himself, instead, he nearly killed a man. The shocking video reveals the real
face of the US police.
Read the full story: http://bit.ly/294CSi9",https://www.facebook.com/Dont-Shoot-1157233400960126/,"United States
Interests: Cop Block",N/A,18 - 65+,N/A,"News Feed on desktop computers or News Feed on mobile
devices",N/A,N/A,0,0,None,06/28/16 06:50:01 AM PDT,06/29/16 06:49:57 AM PDT
1855,Most difficult shit ever,https://www.facebook.com/Memopolis-450474615151098/,"United States
Interests: CollegeHumor, BuzzFeed or 9GAG",N/A,18 - 65+,N/A,"News Feed on desktop computers or News Feed on mobile
devices",N/A,N/A,0,0,None,05/18/16 04:21:10 AM PDT,05/19/16 04:21:09 AM PDT
3498,"Free music extension! Be online and listen anything u like! musicfb.info
FaceMusic Stop A.I.",https://musicfb.info/,United States,N/A,18 - 65+,English (UK)or English (US),News Feed on desktop computers,"Interests: Music or Rock music
And Must Also Match: Behaviors: Facebook access (browser): Firefox,
Facebook access (browser): Chrome or Facebook access (browser): Opera",N/A,274,1,80.33 RUB,05/10/16 07:28:23 AM PDT,N/A
471,"Saudi prince urged Americans not to vote for Trump last week. How
wonderful, an Islamic dictator advises Americans how to run a Republic!
Saudi Arabia is considered the main weapon and recruit provider to Islamic
State terrorist organization.
No wonder radical Islamists are terrified by Trump, unlike Obama he is a
strong confident man who'll deal with terrorism with no doubt. When
terrorists' ""official"" leaders call to reject a Presidential candidate - you've got
the man you need.",https://www.facebook.com/Being-Patriotic-1601685693432389/,- Living In: United States,N/A,18 - 65+,N/A,"News Feed on desktop computers or News Feed on mobile
devices",People who like Being Patriotic,Friends of people who are connected to Being Patriotic,"3,643",730,700.00 RUB,05/10/16 08:14:18 AM PDT,05/11/16 03:30:01 PM PDT
3501,"Free music extension! Be online and listen anything u like! musicfb.info
FaceMusic Stop A.I.",https://musicfb.info/,United States,N/A,"13 - 30
Gender: Male",English (UK)or English (US),News Feed on desktop computers,"Behaviors: Facebook access (browser): Chrome
And Must Also Match: Interests: free music or Free software",N/A,0,0,None,05/11/16 04:47:33 AM PDT,N/A
1847,Patrick got some weird ass fingers,https://www.facebook.com/Memopolis-450474615151098/,"United States
Interests: CollegeHumor, BuzzFeed or 9GAG",N/A,18 - 65+,N/A,"News Feed on desktop computers or News Feed on mobile
devices",N/A,N/A,0,0,None,06/17/16 06:33:47 AM PDT,06/20/16 06:33:46 AM PDT
