Ad ID,Ad Text,Ad Landing Page,Ad Targeting Location,Excluded Connections,Age,Language,Placements,People Who Match,Friends of Connections,Ad Impressions,Ad Clicks,Ad Spend,Ad Creation Date,Ad End Date
579,"""Here are the values that I stand for: honesty, equality, kindness, compassion,
treating people the way you want to be treated and helping those in need. To
me, those are traditional values.""
-- quote by Ellen DeGeneres
#equality #equalrights #Igbt #traditionalvalues #EIIenDeGeneres #queerquote",https://www.facebook.com/LGBT-United-839497472793277/,- Living In: United States,N/A,18 - 65+,N/A,"News Feed on desktop computers or News Feed on mobile
devices",People who like LGBT United,Friends of people who are connected to LGBT United,782,137,261.54 RUB,08/06/15 07:43:41 AM PDT,08/07/15 07:43:40 AM PDT
601,"Lil bit about the history of Gay Rights...
Protestor at Weinstein Hall demonstration for the rights of gay people on
campus. NY 1970.",https://www.facebook.com/LGBT-United-839497472793277/,- Living In: United States,N/A,18 - 65+,N/A,"News Feed on desktop computers or News Feed on mobile
devices",People who like LGBT United,Friends of people who are connected to LGBT United,31,7,25.92 RUB,08/04/15 06:19:12 AM PDT,08/06/15 06:19:12 AM PDT
427,"Police Charges Black Student For Driving To A Well-lit Area
Last time I checked US wasn't involved in any wars or anti-terrorist
operations, at least officially. Well, then how come Detroit is no less
dangerous then (the city ranks third in the list of top 100 US most dangerous
cities)??
When 24-year-old DaJuawn Wallace saw flashing blue police lights in his
rearview mirror he chose to proceed with caution since some people are
known to be robbed by fake police officers. He preferred to find a well-lit area
to pull over in. As a result, he was charged with 'fleeing' police.
People are terrified by the police to such a degree that they even prefer to
communicate with officers only in the well-lit areas. And get charged for that.
Sometimes it makes me actually think that when not involved in any military
operations in the foreign countries, our country's at war with its own citizens
with the help of police.",https://www.facebook.com/Black-Matters-1579673598947501/,"United States: Baltimore Maryland: Ferguson, St. Louis Missouri:
Cleveland Ohio",N/A,18 - 65+,N/A,"News Feed on desktop computers or News Feed on mobile
devices",People who like Black Matters,Friends of people who are connected to Black Matters,0,0,None,07/09/15 07:21:05 AM PDT,07/10/15 07:21:05 AM PDT
604,"""My mom blames California for me being a lesbian. ""Everything was fine until
you moved out there."" ""That's right, Mom, we have mandatory lesbianism in
West Hollywood. The Gay Patrol busted me, and I was given seven business
days to add a significant amount of flannel to my wardrobe!""
quote by Coley Sohn
#lesbian #queerhumor #queerquote #coleysohn",https://www.facebook.com/LGBT-United-839497472793277/,"United States
Interests: LGBT community or Same-sex marriage",N/A,18 - 65+,N/A,"News Feed on desktop computers or News Feed on mobile
devices",N/A,N/A,"13,819","1,521",827.76 RUB,08/21/15 07:56:45 AM PDT,08/25/15 07:56:00 AM PDT
1588,"It's not about who is ""good"" and ""bad"" it's about what is right!",https://www.facebook.com/BlackJourney2Justice/,"United States
Interests: cop block or Cop Block",Exclude people who like Don't Shoot,18 - 65+,English (UK)or English (US),"News Feed on desktop computers or News Feed on mobile
devices",N/A,N/A,307,18,526.06 RUB,09/23/15 04:46:49 AM PDT,N/A
414,Black Matters,https://www.facebook.com/Black-Matters-1579673598947501/,"United States: Baltimore Maryland: Ferguson, St. Louis Missouri:
Cleveland Ohio",N/A,18 - 65+,N/A,"News Feed on desktop computers or News Feed on mobile
devices",People who like Black Matters,Friends of people who are connected to Black Matters,67,4,18.14 RUB,07/06/15 07:51:49 AM PDT,07/08/15 06:08:00 PM PDT
47,"Obey the law and everything will be ok, they say",https://www.facebook.com/shootusa,- Living In: United States,N/A,18 - 65+,N/A,"News Feed on desktop computers or News Feed on mobile
devices",N/A,N/A,0,0,None,07/24/15 02:24:10 AM PDT,07/25/15 02:24:09 AM PDT
729,This page is about our best state! Lone Star of Blessed America!,https://www.facebook.com/Heart-of-Texas-761114847343674/timeline/,"United States: Texas
Interests: Independence or Patriotism",Exclude people who like Heart of Texas,18 - 65+,English (UK)or English (US),"News Feed on desktop computers or News Feed on mobile
devices",N/A,N/A,717,83,670.55 RUB,09/22/15 07:39:28 AM PDT,N/A
415,"Florida police department used black men's mugshots for target practice a
couple of months ago.",https://www.facebook.com/Black-Matters-1579673598947501/,"United States: Baltimore Maryland: Ferguson, St. Louis Missouri:
Cleveland Ohio",N/A,18 - 65+,N/A,"News Feed on desktop computers or News Feed on mobile
devices",People who like Black Matters,Friends of people who are connected to Black Matters,0,0,None,07/06/15 07:52:07 AM PDT,07/07/15 09:07:00 AM PDT
439,"Dear patriots, today we start our new competition #MeAndMyFlag to show the
true American spirit.
For participation we ask you to share this post and send you photos with flag
in comments below.
The results will be announced on Monday, 24. Photo of winner will grace our
group the whole week.
Don't forget, we are the one nation under God. So, let's show how united we
are! We're waiting for your patriotic photos!
#MeAndMyFlag",https://www.facebook.com/patriototus,United States,N/A,18 - 65+,N/A,"News Feed on desktop computers or News Feed on mobile
devices",People who like Being Patriotic,Friends of people who are connected to Being Patriotic,"12,055","1,310","4,886.23 RUB",08/14/15 07:32:52 AM PDT,08/19/15 06:17:00 AM PDT
428,"Police Charges Black Student For Driving To A Well-lit Area
Last time I checked US wasn't involved in any wars or anti-terrorist
operations, at least officially. Well, then how come Detroit is no less
dangerous then (the city ranks third in the list of top 100 US most dangerous
cities)??
When 24-year-old DaJuawn Wallace saw flashing blue police lights in his
rearview mirror he chose to proceed with caution since some people are
known to be robbed by fake police officers. He preferred to find a well-lit area
to pull over in. As a result, he was charged with 'fleeing' police.
People are terrified by the police to such a degree that they even prefer to
communicate with officers only in the well-lit areas. And get charged for that.
Sometimes it makes me actually think that when not involved in any military
operations in the foreign countries, our country's at war with its own citizens
with the help of police.",https://www.facebook.com/Black-Matters-1579673598947501/,"United States: Baltimore Maryland: Ferguson, St. Louis Missouri:
Cleveland Ohio",N/A,18 - 65+,N/A,"News Feed on desktop computers or News Feed on mobile
devices",People who like Black Matters,Friends of people who are connected to Black Matters,0,0,None,07/08/15 02:55:42 AM PDT,07/09/15 02:55:41 AM PDT
596,"THE US ARMY HAS PUNISHED CHELSEA MANNING for possessing books
and magazines having to do with LGBTQ and political issues.
They accused her of misconduct for having an expired tube of toothpaste and
for brushing food off the table. They placed her in a solitary confinement — a
torturous, extremely distressing experience. The whole cruel, corrupted
system is against her.
It looks like military prosecutors view Manning in a way that means she must
be ""broken"" or forcefully assimilated because of her crime —first, because she
exposed the government's crimes, and government really doesn't like it, and
second, because she's trans.
Their goal is to see that Manning is as dehumanized as possible, but it's clear
who the real non-humans are. Someone has gone to great lengths to paint
Chelsea as a deceitful and psychotic character.
But how many of those punishing Manning should themselves be in a psych
ward?
Transphobia is a one ugly thing. So sad when heroes like Chelsea Manning
forced to suffer, to undergo injustice and humiliation, even though they had
been through enough already!
Free Chelsea Manning you sadistic creeps!!
#ChelseaManning #FreeChelsea #transphobia #LGBT #transgender
#PrideHeroes",https://www.facebook.com/LGBT-United-839497472793277/,"United States
Interests: LGBT community or Same-sex marriage",N/A,18 - 65+,N/A,"News Feed on desktop computers or News Feed on mobile
devices",N/A,N/A,331,41,99.99 RUB,08/21/15 07:50:13 AM PDT,08/22/15 07:50:12 AM PDT
482,"What is the second amendment for you? It's not just the right to bear arms.
It's respect to American history. The Founding Fathers were very smart
people. And it may be assumed they were smarter than many liberals.
The second amendment is deterrent. If a criminal knows you have a gun, he
doesn't want to rob you. Of course, not all Americans have a gun, but
criminals don't know who is unarmed. Liberals can say that guns increase
crime rate. In fact, it is nonsense. Look at statistics: the most gun-friendly
state is Wyoming, and it has low crime-rate.
The states with high crime rate are states where there are many illegals as
usual. So, liberal hysteria is just foolishness. Liberals find reasons of crimes in
wrong places.
The U.S. Constitution should be saved. Do you agree?",https://www.facebook.com/patriototus,"United States
Interests: Independence or Patriotism",N/A,18 - 65+,N/A,"News Feed on desktop computers or News Feed on mobile
devices",N/A,N/A,699,113,123.75 RUB,09/01/15 07:41:24 AM PDT,09/02/15 07:41:24 AM PDT
321,Fast-growing black community. Latest news and everyday updates.,https://www.facebook.com/Black-Matters-1579673598947501/,"United States: Atlanta (+20 km) Georgia; Maryland; St. Louis(+20
km) Missouri; Virginia",Exclude people who like Black Matters,18 - 65+,English (UK)or English (US),"News Feed on desktop computers or News Feed on mobile
devices",N/A,N/A,0,0,None,07/13/15 07:12:24 AM PDT,N/A
320,Fast-growing black community. Latest news and everyday updates.,https://www.facebook.com/Black-Matters-1579673598947501/,"United States: Atlanta (+20 km) Georgia; Maryland; Ferguson (+20
km), St. Louis(+20 km) Missouri; Virginia",Exclude people who like Black Matters,18 - 65+,English (UK)or English (US),"News Feed on desktop computers or News Feed on mobile
devices",N/A,N/A,432,20,199.71 RUB,07/13/15 07:20:58 AM PDT,N/A
