Ad ID,Ad Text,Ad Landing Page,Ad Targeting Location,Excluded Connections,Age,Language,Placements,People Who Match,Friends of Connections,Ad Impressions,Ad Clicks,Ad Spend,Ad Creation Date,Ad End Date
3091,"repost
#blackslayingit",https://www.facebook.comNViIIiamsandKalvin/,- Living In: United States,N/A,18 - 65+,N/A,"News Feed on desktop computers or News Feed on mobile
devices","Interests: Martin Luther King, Jr., Stop Racism!!, African-
American culture, African-American Civil Rights Movement(1954-68), African-
American history, Say To No Racism or Malcolm X",N/A,"7,823","1,410",440.00 RUB,05/10/17 04:53:46 AM PDT,05/11/17 04:53:46 AM PDT
2617,Mexicans know how to conquer the heart of any woman,https://www.facebook.com/brownunitedfront/,- Living In: United States,N/A,18 - 65+,N/A,"News Feed on desktop computers or News Feed on mobile
devices","Interests: Mexico. Latin hip hop. Chicano Movement,.
Hispanidad, Lowrider, Chicano rap or La Raza",N/A,"8,402","1,070",300.00 RUB,05/16/17 07:18:02 AM PDT,05/17/17 02:05:00 PM PDT
2625,Great shot from film La Zandunga (1938)?,https://www.facebook.com/brownunitedfront/,- Living In: United States,N/A,18 - 65+,N/A,"News Feed on desktop computers or News Feed on mobile
devices","Interests: Mexico. Latin hip hop. Chicano Movement,.
Hispanidad, Lowrider, Chicano rap or La Raza",N/A,"5,832",726,200.00 RUB,05/19/17 07:49:07 AM PDT,05/20/17 10:01:00 AM PDT
2780,Forever grateful!,https://www.facebook.comNeterans-Come-First-1757336424535312/,- Living In: United States,Exclude people who like Veterans Come First,30 - 65+,English (UK) or English (US),Instagram Feed,"Industry: Veterans (US), Politics: Likely to engage with
political content (conservative)
And Must Also Match: Interests: Iraq War Veterans, Veterans of Foreign
Wars, Support Our Veterans. Veterans benefits support; Disabled American
Veterans, Veterans Advantage or Dysfunctional Veterans",N/A,609,4,264.86 RUB,05/03/17 07:24:41 AM PDT,N/A
3518,"Unite Black people worldwide, for we are weak because we are divided!
Woke Blacks",https://www.facebook.com/Woke-Blacks-294234600956431,- Living In: United States,Exclude people who like Woke Blacks,18 - 65+,N/A,"News Feed on desktop computers, News Feed on mobile
devices or Right column on desktop computers",Interests: Malcolm X,N/A,0,0,None,05/25/17 12:44:08 AM PDT,N/A
2470,"Join us, if you proud to be who you are and believe that your roots give you
the power! Black Excellence",https://www.facebook.com/iloveblackexcellence/,- Living In: United States,Exclude people who like Black Excellence,18 - 65+,English (UK) or English (US),"News Feed on desktop computers, News Feed on mobile
devices or Right column on desktop computers","Interests: Black Girls Rock!
And Must Also Match: Interests: My Black is Beautiful, Black is beautiful or
Black Girls Rock!",N/A,"4,059",178,"1,500.02 RUB",05/10/17 05:17:27 AM PDT,N/A
2126,"Reversing this trend won't be easy, especially when the industry increasingly
looks to Latino neighborhoods and other minority communities to boost sales.
Black people are 1.5 times more likely to be obese than their white
counterparts. Why? Black People And Fast Food Epidemic
BlackMattersUS.com blackmattersus.com",https://blackmattersus.com/33134-black-people-and-fast-food-epidemic/,- Living In: United States,N/A,18 - 65+,N/A,"News Feed on desktop computers or News Feed on mobile
devices","Interests: Martin Luther King, Jr., African-American Civil
Rights Movement (1954-68), African-American history or Malcolm X",N/A,"1,120",79,102.53 RUB,05/01/17 07:00:37 AM PDT,05/04/17 07:00:37 AM PDT
2008,She slays. Love your blackness. Be proud of your skin color and natural hair.,https://www.facebook.com/blackmattersus.mvmnt/,- Living In: United States,N/A,18 - 65+,N/A,"News Feed on desktop computers or News Feed on mobile
devices","Interests: Martin Luther King, Jr., African-American
culture, African-American Civil Rights Movement (1954-68), African-American
history or Malcolm X",N/A,"17,248","3,031",207.95 RUB,05/17/17 06:30:34 AM PDT,05/24/17 10:56:00 AM PDT
3515,"How can you bring peace to another nation when you have no peace in your
own country?
Someone help me understand this white man's tactics.
We talk about racism everywhere, but then in actual fact we talking about
inter-human relationship, international relations and seeing other humans as
equal and not inferiors.
This war has brought nothing positive and the poor, the masses, people of
color are the ones suffering.
Let this sink in!!
#wokeblacks #PanAfricanism #BlackNationalism #BlackEmpowerment
#AfricanEmpowerment #AfricanAndProud #BlackAndProud #BlackPride
#BlackPower #BlackLivesMatter #Amerikkka #UnapologeticallyBlack
#UnapologeticallyAfrican #BlacklnAmerica #BlacklsBeautiful #KnowThySelf
#KnowledgeOfSelf #KnowledgeOfSelflsANationality
#EconomicEmpowerment #lntegrationFailed #WhiteliesMatter #Education
#AfricanUnification #AfricanUnity #BlackLove #theblackmancan #brotherhood
#kings",https://www.facebook.com/Woke-Blacks-294234600956431I,- Living In: United States,N/A,18 - 65+,N/A,"News Feed on desktop computers or News Feed on mobile
devices","Interests: Martin Luther King, Jr., African-American
culture, African-American Civil Rights Movement (1954-68), Angela Davis or
Malcolm X, Field of study: African-American history",N/A,"12,275","1,179",300.00 RUB,05/18/17 07:29:08 AM PDT,05/19/17 07:29:08 AM PDT
3024,"""You can't keep doing this. You can't keep violating us in our own
communities,"" said Deon Jones after filing a federal civil rights lawsuit against
the Denver Police Department for nearly killing him.
Subscribe to our channel:
https://www.youtube.com/channel/UCSbzPCwUDPvDCR6VRaOcDtg
Follow my Facebook: https://www.facebook.comnVilliamsandKalvin
Follow me on Instagram: https://www.instagram.com/wilIiams.and.kalvin
Follow me on Twitter: https://twitter.com/Williams8kalvin The truth about why
american police kill blacks",https://www.facebook.comNViIIiamsandKaIvin/,- Living In: United States,N/A,18 - 65+,N/A,"News Feed on desktop computers or News Feed on mobile
devices","Interests: Martin Luther King, Jr., African-American Civil
Rights Movement(1954-68), African-American history or Malcolm X",N/A,"6,021",187,300.00 RUB,05/18/17 07:18:16 AM PDT,05/21/17 09:11:00 AM PDT
