Ad ID,Ad Text,Ad Landing Page,Ad Targeting Location,Excluded Connections,Age,Language,Placements,People Who Match,Friends of Connections,Ad Impressions,Ad Clicks,Ad Spend,Ad Creation Date,Ad End Date
706,"It's been 15 years since the 9/11 and it became clear that extemist terror
groups are bein Stop Radical Islam",https://www.facebook.com/events/554359838086349/,United States: Houston (+50 mi) Texas,N/A,18 - 65+,English (UK)or English (US),"News Feed on desktop computers or News Feed on mobile
devices",Interests: Texas,N/A,0,0,None,09/08/16 05:49:40 AM PDT,09/10/16 03:10:55 AM PDT
703,"It's been 15 years since the 9/11 and it became clear that extemist terror
groups are bein Stop Radical Islam",https://www.facebook.com/events/554359838086349/,"United States: Houston (+10 mi) Texas
Interests: Texas",N/A,18 - 65+,N/A,"News Feed on desktop computers or News Feed on mobile
devices",N/A,N/A,"15,891","1,355","14,000.00 RUB",08/17/16 06:10:57 AM PDT,09/10/16 03:10:55 AM PDT
1839,"Killary Clinton will never understand what it feels like to lose the person you
love for the sake of your country. Honoring the high cost paid by so many
families to protect our freedom. Buy a T-shirt - help a veteran: Veterans USA
Funnylnst",https://www.instagram.com/veterans—us/,United States,N/A,18 - 65+,English (US),Instagram Feed,"Interests: Iraq and Afghanistan Veterans of America,
Vietnam Veterans of America Foundation, Veterans For America, Support our
troops, US Military Veterans, Vietnam Veterans of America, Support Our
Veterans, Concerned Veterans for America or Supporting Our Veterans",N/A,0,0,None,08/17/16 12:13:21 AM PDT,N/A
290,"Now after eight police officers were killed in Dallas and Baton Rouge,
Louisiana, the Ku Klux Klan targets Black activist groups. The racist and
violent KKK group was distributing fliers in Georgia County, calling on
residents to join them and terrorize Black people in response to the BLM, KKK
Recruits Supremacists After Recent Killings Of Police Officers I Black Matters
Black Matters",https://www.facebook.com/Black-Matters-1579673598947501/,"United States
Interests: BlackNews.com or HuffPost Black Voices
Behaviors: African American (US)",Exclude people who like Black Matters,18 - 54,English (UK)or English (US),"News Feed on desktop computers or News Feed on mobile
devices",N/A,N/A,"6,768","1,098",446.85 RUB,07/25/16 07:19:08 AM PDT,07/26/16 07:19:06 AM PDT
302,"Stand up, South Carolina! Let's stop the propaganda of hate and white
supremacy! Not My Heritage",https://www.facebook.com/events/I730167210590258/,"United States: South Carolina
Interests: BlackNews.com or HuffPost Black Voices
Behaviors: African American (US)",Exclude people who like Black Matters,18 - 54,English (UK)or English (US),"News Feed on desktop computers or News Feed on mobile
devices",N/A,N/A,0,0,None,07/21/16 01:07:46 AM PDT,07/23/16 10:00:00 AM PDT
524,,N/A,"United States: New York (+40 km) New York
Interests: Independence, Veterans Day, Patriotism or Remembrance Day",Exclude people who like Being Patriotic,18 - 65+,English (UK) or English (US),"News Feed on desktop computers or News Feed on mobile
devices",N/A,N/A,"5,253",259,"3,876.40 RUB",08/23/16 04:59:14 AM PDT,08/25/16 04:59:10 AM PDT
1958,"Due to the town of Twin falls, Idaho, becoming a center of refugee
resettlement, which led Citizens before refugees",https://www.facebook.com/events/1171162859608506/,- Living In: United States: Idaho,N/A,18 - 65+,English (UK) or English (US),"News Feed on desktop computers or News Feed on mobile
devices",N/A,N/A,0,0,0,08/15/16 07:14:22 AM PDT,08/22/16 06:08:57 AM PDT
291,"All Black rallies, meetings. and protests are now in one place. Search for a
meetup in your area to attend. Create your own meetup and get it promoted
to more than 300,000 people for free. BlackMattersUS has been organizing
meetups all over the USA for some time now. Some of our meetups like ""Not
My Heritage rally against the symbols of racism an NEW On
BlackMattersUS: All Black Protest Meetups In One Place I Black Matters
Black Matters","https://www.facebook.com/Black-Matters-1579673598947501/
AdTargetingCustomAudience:Lookalike(US,I%)-newtestaudit",N/A,N/A,18 - 65+,N/A,"News Feed on desktop computers or News Feed on mobile
devices",N/A,N/A,"9,918",741,799.28 RUB,08/05/16 07:10:10 AM PDT,08/08/16 07:10:05 AM PDT
2411,N/A,https://www.facebook.com/Bom-Liberal-522628564598423/,"United States
Interests: Liberalism or Libertarianism",N/A,18 - 65+,N/A,"News Feed on desktop computers or News Feed on mobile
devices",N/A,N/A,"2,261",309,500.00 RUB,07/21/16 09:37:16 AM PDT,07/22/16 09:37:13 AM PDT
2419,"What future do you want for your children? Government should focus
additional funds on existing public schools, raising teacher salaries and
reducing class size!",https://www.facebook.com/Born-Liberal-522628564598423/,"United States
Interests: Liberalism or Libertarianism",N/A,18 - 65+,N/A,"News Feed on desktop computers or News Feed on mobile
devices",N/A,N/A,"1,920",187,500.00 RUB,07/21/16 09:38:22 AM PDT,07/22/16 09:38:20 AM PDT
