"Ad ID","Ad Text","Ad Landing Page","Ad Targeting Location","Excluded Connections","Age","Language","Placements","People Who Match","Friends of Connections","Ad Impressions","Ad Clicks","Ad Spend","Ad Creation Date","Ad End Date"
"835","Black guys are smart and no one can deny this. White cops are one of the
hardest of the problems we face every day, still, we found the way how to
deal with this bastards. So we developed the app that can collect and
organize the information about cos' misconduct. Use it and you will help the
entire black community.
Subscribe to our channel:
https://www.youtube.com/channel/UCSbzPCwUDPvDCR6VRaOcDtg
Follow my Facebook: https://www.facebook.comnViIliamsandKalvin
Follow me on Instagram: https://www.instagram.com/williams.and.kalvin
Follow me on Twitter: https://twitter.com/Williams8kalvin","https://www.facebook.comnVilliamsKalvin-788980617892144/","United States
Interests: Martin Luther King, Jr., African-American Civil Rights Movement
(1954-68), African-American history or Malcolm X","N/A","18 - 50","N/A","News Feed on desktop computers or News Feed on mobile
devices","N/A","N/A","0","0","None","10/20/16 08:03:34 AM PDT","10/21/16 08:03:32 AM PDT"
"3224","Amazing                                                                   orgeous!","https://www.facebook.com/Black4Black-1268698556482143/","- Living In: United States
Interests: Martin Luther King, Jr. , BLACK BUSINESS GLOBAL, Black
Business Works, African-American culture, African-American Civil Rights
Movement (1954-68), African-American history, Black Business Builders Club
or Malcolm X","N/A","18 - 65+","N/A","News Feed on desktop computers, lnstagram Feed or News
Feed on mobile devices
Interest expansion: On","N/A","N/A","1,036","3","200.00 RUB","12/05/16 06:26:06 AM PST","12/06/16 06:26:06 AM PST"
"3281","This group is basically to bring together all who have faced the wrath of prison
life. Hell And Back","https://www.facebook.com/Hell—and—Back-1806743482876111/","- Living In: China","Exclude people who like Hell—and—Back","18 - 65+","English (UK)or English (US)","News Feed on desktop computers, News Feed on mobile
devices or Right column on desktop computers","Interests: Prison Fellowship, Innocence Project, Prison
reform or The Inmates","N/A","0","0","None","12/22/16 07:01:40 AM PST","N/A"
"2286","On November 15, 2015, Jamar Clark. a 24-year-old black man, was fatally
shot by two Minneapolis cops. According to witnesses. Jamar was handcuffed
when he was shot.
Killer cops involved in the shooting won't face discipline. Chief Janee Harteau
recently said that an internal investigation found the officers were warranted in
using deadly force in the death of the 24-year-old black man.
It's been a year since he died. Justice still hasn't been served.
Come out to honor the memory of Jamar on November 19. We won't stop
until change is here!
#blacklivesmatter Remember Jamar Clark","https://www.facebook.com/events/327360504287699/","- Living In: United States: Cleveland (+25 mi) Ohio","N/A","16 - 65+","English (UK) or English (US)","News Feed on desktop computers or News Feed on mobile
devices","Interests: Black Power. Racial equality, Social justice,
Black Panther Party or Cop Block","N/A","0","0","None","10/26/16 06:12:50 AM PDT","11/19/16 12:00:00 AM PST"
"1028","Watch this heart-piercing story about a racial bias that might cause law
enforcement officers to shoot innocent and unarmed black people.","https://www.facebook.com/Blacktivist-128371547505950/","United States
Interests: Pan-Africanism, African-American Civil Rights Movement
(1954-68), African-American history or Black (Color)","N/A","16 - 65+","English (UK)or English (US)","News Feed on desktop computers or News Feed on mobile
devices","N/A","N/A","191,238","11,360","500.00 RUB","11/03/16 08:12:06 AM PDT","11/10/16 07:12:06 AM PST"
"1665","we are Muslims and we stand together","https://www.facebook.com/MuslimAmerica/","United States","Exclude people who like United Muslims of America","16 - 55","English (UK)or English (US)","News Feed on desktop computers, News Feed on mobile
devices or Right column on desktop computers","Interests: Islam, Quran, Muhammad, State of Palestine,
Muslim world, Mosque, Allah, Muslim Brotherhood or All-american muslim
culture, School: St. Edward's University","N/A","0","0","None","10/03/16 12:09:31 PM PDT","N/A"
"3130","Her Royal Highness, the faithful woke Black woman, with a sense of purpose,
with a determination to keep her man going till the very end.
The never-falling natural pillar of her family.
Thank you for your unconditional love.
Tag a Queen who makes you feel all of the above.
#melaninqueen #dope #beautiful #wakeup #wewillsurvive #organize
#joshuabeal #altonsterling #TerenceCrutcher #westandtogether
#blacklivesmatter #unite4justice #november8 #elections2016 #black #melanin
#blackisbeautiful #blacklivesmatter #blackgirlmagic #USA #blackandproud
#democrat #republican #Africanamerican #unite4justice #vote #breakingnews","https://www.facebook.com/Woke-Blacks-294234600956431/","- Living In: United States
Interests: Martin Luther King, Jr., African-American culture, African-American
Civil Rights Movement (1954-68), African-American history, Black
Consciousness Movement or Malcolm X","N/A","18 - 65+","N/A","News Feed on desktop computers or News Feed on mobile
devices
Interest expansion: On","N/A","N/A","0","0","0","12/01/16 07:48:56 AM PST","12/02/16 07:48:56 AM PST"
"2887","Take up your cross and follow Jesus!","https://www.facebook.com/Army-of-Jesus-1195795607160174/","United States","N/A","18 - 65+","English (UK)or English (US)","on pages: News Feed on desktop computers, Instagram Feed,
News Feed on mobile devices or Right column on desktop computers","Interests: Evangelism, Catholicism or Protestantism
And Must Also Match: Interests: Jesus","N/A","1,518","0","852.98 RUB","10/14/16 08:09:03 AM PDT","N/A"
"2519","Are you going to participate in the National Day of Protest, October, 22nd?
Find the full list of planned actions and events for this day below. Let us make
this change together! The October 22 Coalition to Stop Police Brutality,
Repression and the Criminalization of a Generation has been mobilizing every
year since 1996 for a National D National Day Of Protest: Participate in
Actions Planned In Your City I BM BM","https://blackmattersus.com/18315-national-day-of-protest-find-and-participate-
in-actions-in-your-city/","- Living In: United States
Interests: Martin Luther King, Jr., African-American Civil Rights Movement
(1954-68), African-American history, Malcolm X or Black (Color)","N/A","18 - 65+","N/A","News Feed on desktop computers or News Feed on mobile
devices","N/A","N/A","2,632","204","778.90 RUB","10/20/16 07:23:03 AM PDT","10/21/16 07:23:02 AM PDT"
"2526","Here is yet another reminder that in America it takes seven cops to take down
one black man.","https://www.facebook.com/blackmattersus.mvmnt/","- Living In: United States
Interests: Martin Luther King, Jr., African-American Civil Rights Movement
(1954-68), African-American history, Malcolm X or Black (Color)","N/A","18 - 65+","N/A","on pages: News Feed on desktop computers, News Feed on
mobile devices, Instream Video on mobile devices or Instream Video on
desktop computers","N/A","N/A","19,226","1,236","383.43 RUB","10/21/16 08:42:27 AM PDT","10/24/16 05:34:00 AM PDT"
